General Information;;;General Information;;;;;;;Metal/Commodity 1;;;Metal/Commodity 2;;;Metal/Commodity 3;;;Metal/Commodity 4;;;Shareholder data;;;;;Sources;;;;;;;;;;;;;
ID;ID Name;Name_Mine;Status;Type  [OP/UG];Processing Method;Latitude;Longitude;Name_Mining Company;ROM [Mt/a];Metal/Commodity;Avg. grade; Production [t/a] ;Metal2;Avg. Grade2; Production [t/a]4 ;Metal_3;Avg. Grade3;Production [kg/a];Metal_4;Avg. Grade_Metal_4;Production [kg/a]2;Name_Main Shareholder_1;Name_Main Shareholder_2;Name_Main Shareholder_3;Name_Main Shareholder_4;Name_Main Shareholder_5;Source_URL_1;Source_URL_2;Source_URL_3;Source_URL_4;;;;;;;;;;
2091;Tres Valles;Tres Valles;operational;OP & UG;Heap leach, SX-EW;31°42?08?S;70°55?34? W;Minera Tres Valles;1,4;Cu;1,50%; 18505 t/a ;-;-;-;-;-;-;-;-;-;Vecchiola S. A (8,9%);Three Valley Copper Corp. (91,1 %);-;-;-;https://miningdataonline.com/property/3081/Tres-Valles-Mine.aspx#Processing;-;-;-;;;;;;;;;;
2108;Carmen de Andacollo;Carmen de Andacollo;operational;OP;Flotation, heap leach, SX-EW;30° 14' 29'' S;71° 6' 10'' W;Compañía Minera Teck Carmen de Andacollo S. A. (operator);27,0;Cu;0,36%; 58000 t/a ;-;-;-;Au; N/A ;1394,8 kg/a;-; - ;-;Teck Resources Ltd. (90%);Empresa Nacional de Minería (10%);-;-;-;https://miningdataonline.com/property/155/Carmen-de-Andacollo-Mine.aspx;https://www.teck.com/media/2020-Annual-Report.pdf;;-;;;;;;;;;;
2109;Carmen de Andacollo;Carmen de Andacollo;operational;OP;Flotation, heap leach, SX-EW;30° 14' 29'' S;71° 6' 10'' W;Compañía Minera Teck Carmen de Andacollo S. A. (operator);27,0;Cu;0,36%; 58000 t/a ;-;-;-;Au; N/A ;1394,8 kg/a;-; - ;-;Teck Resources Ltd. (90%);Empresa Nacional de Minería (10%);-;-;-;https://miningdataonline.com/property/155/Carmen-de-Andacollo-Mine.aspx;https://www.teck.com/media/2020-Annual-Report.pdf;;-;;;;;;;;;;
2111;Carmen de Andacollo;Carmen de Andacollo;operational;OP;Flotation, heap leach, SX-EW;30° 14' 29'' S;71° 6' 10'' W;Compañía Minera Teck Carmen de Andacollo S. A. (operator);27,0;Cu;0,36%; 58000 t/a ;-;-;-;Au; N/A ;1394,8 kg/a;-; - ;-;Teck Resources Ltd. (90%);Empresa Nacional de Minería (10%);-;-;-;https://miningdataonline.com/property/155/Carmen-de-Andacollo-Mine.aspx;https://www.teck.com/media/2020-Annual-Report.pdf;;;;;;;;;;;;
2112;Carmen de Andacollo;Carmen de Andacollo;operational;OP;Flotation, heap leach, SX-EW;30° 14' 29'' S;71° 6' 10'' W;Compañía Minera Teck Carmen de Andacollo S. A. (operator);27,0;Cu;0,36%; 58000 t/a ;-;-;-;Au; N/A ;1394,8 kg/a;-; - ;-;Teck Resources Ltd. (90%);Empresa Nacional de Minería (10%);-;-;-;https://miningdataonline.com/property/155/Carmen-de-Andacollo-Mine.aspx;https://www.teck.com/media/2020-Annual-Report.pdf;;;;;;;;;;;;
2113;Carmen de Andacollo;Carmen de Andacollo;operational;OP;Flotation, heap leach, SX-EW;30° 14' 29'' S;71° 6' 10'' W;Compañía Minera Teck Carmen de Andacollo S. A. (operator);27,0;Cu;0,36%; 5800 t/a0 ;-;-;-;Au; N/A ;1394,8 kg/a;-; - ;-;Teck Resources Ltd. (90%);Empresa Nacional de Minería (10%);-;-;-;https://miningdataonline.com/property/155/Carmen-de-Andacollo-Mine.aspx;https://www.teck.com/media/2020-Annual-Report.pdf;;;;;;;;;;;;
2118;El Panul - Landfill;El Panul - Landfill;landfill - no mining operation;-; N/A ;30°01?03?S;71°21?34? W;N/A; N/A ;-;N/A;N/A;-;-;-;-;-;-;-; - ;-;N/A;-;-;-;-;;;;;;;;;;;;;;
2130;Compañía Minera El Indio;Compañía Minera El Indio;decomissioned (2002);OP; N/A ;29°47?24?S;69°58?38? W;Barrick Gold; N/A ;Cu; N/A ; N/A ;-;-;-;Au;N/A;N/A;Ag; N/A ; N/A ;Barrick Gold (100%);;;;;https://www.fluor.com/projects/el-indio-mining-gold-silver-copper-epcm;;;;;;;;;;;;;
2132;El Romeral;El Romeral;operational;OP;Crushing & grinding plant, concentration plant;29.72°S;71.24°W;CAP S. A. (Operator);4,0;Fe;27,40%; 2800000 t/a ;-;-;-;-;-;-;-; - ;-;CAP (100%);-;-;-;-;https://www.cap.cl/cap/site/artic/20210401/asocfile/20210401160746/annual_operating_summary_cap_s_a__2020.pdf;https://www.barrick.com/Spanish/presencia/chile/default.aspx;https://www.youtube.com/watch?v=nL0SAlodEpY;https://www.antofagasta.co.uk/media/4049/aplc20q4prodreport-vf.pdf;;;;;;;;;;
2153;Miner el Algarrobo;Miner el Algarrobo;decomissioned in 1998;OP;N/A;28°48?40?S;70°59?23? W;Compañía Minera del Pacífico;N/A;Fe; N/A ; N/A ;-;-;-;-;-;-;-;-;-;CAP (100%);-;-;-;-;https://www.cmp.cl/capmineria/site/edic/base/port/operaciones.html;https://www.youtube.com/watch?v=6p_79ccl-w0;;;;;;;;;;;;
